task,seed,method,n,positive,auprc,auroc,lift_at_top50
Endocrine Disruption_SR-ARE,13,structure_alert_extratrees,5537,870,0.462651284124511,0.8040652268680316,4.20048275862069
Endocrine Disruption_SR-ARE,13,cgp_latent_extratrees,5537,870,0.5515646864217225,0.8420877572784209,5.346068965517241
Endocrine Disruption_SR-ARE,13,cgp_plus_alert_extratrees,5537,870,0.5890902562823779,0.8553966588593427,5.473356321839081
Endocrine Disruption_SR-ARE,41,structure_alert_extratrees,5537,870,0.47232791958013376,0.806635979203456,4.20048275862069
Endocrine Disruption_SR-ARE,41,cgp_latent_extratrees,5537,870,0.5584631309375869,0.8403520438195301,5.473356321839081
Endocrine Disruption_SR-ARE,41,cgp_plus_alert_extratrees,5537,870,0.6078096016929153,0.8591573508296205,5.60064367816092
Endocrine Disruption_SR-ARE,97,structure_alert_extratrees,5537,870,0.47090342803335455,0.8056617877048191,4.20048275862069
Endocrine Disruption_SR-ARE,97,cgp_latent_extratrees,5537,870,0.5412198751349031,0.8374991687785849,5.091494252873564
Endocrine Disruption_SR-ARE,97,cgp_plus_alert_extratrees,5537,870,0.5859481619378446,0.8548479295813846,5.473356321839081
Endocrine Disruption_SR-ARE,123,structure_alert_extratrees,5537,870,0.4745507493714995,0.8094590534173668,4.327770114942529
Endocrine Disruption_SR-ARE,123,cgp_latent_extratrees,5537,870,0.5490004277796416,0.8400335936595661,5.091494252873564
Endocrine Disruption_SR-ARE,123,cgp_plus_alert_extratrees,5537,870,0.6035816054406898,0.8596289920178115,5.2187816091954025
Endocrine Disruption_SR-ARE,2026,structure_alert_extratrees,5537,870,0.48440293075691687,0.8147541185481825,4.20048275862069
Endocrine Disruption_SR-ARE,2026,cgp_latent_extratrees,5537,870,0.5441816745518702,0.8402612867553796,5.473356321839081
Endocrine Disruption_SR-ARE,2026,cgp_plus_alert_extratrees,5537,870,0.5997676075347794,0.8591789010144596,5.473356321839081
Endocrine Disruption_SR-ATAD5,13,structure_alert_extratrees,6737,242,0.22691084177984816,0.8010389428613237,14.476198347107438
Endocrine Disruption_SR-ATAD5,13,cgp_latent_extratrees,6737,242,0.36037658458553196,0.8755562129801054,18.37363636363636
Endocrine Disruption_SR-ATAD5,13,cgp_plus_alert_extratrees,6737,242,0.3889002918561645,0.8913137251159506,17.816859504132232
Endocrine Disruption_SR-ATAD5,41,structure_alert_extratrees,6737,242,0.21680664332819113,0.7839612798147336,14.476198347107438
Endocrine Disruption_SR-ATAD5,41,cgp_latent_extratrees,6737,242,0.3569095164297295,0.8767055395440867,17.816859504132232
Endocrine Disruption_SR-ATAD5,41,cgp_plus_alert_extratrees,6737,242,0.3699228056306012,0.8894750571005032,17.2600826446281
Endocrine Disruption_SR-ATAD5,97,structure_alert_extratrees,6737,242,0.21549391981943206,0.8030980601734329,15.589752066115702
Endocrine Disruption_SR-ATAD5,97,cgp_latent_extratrees,6737,242,0.35575665581882754,0.8803866928788195,17.816859504132232
Endocrine Disruption_SR-ATAD5,97,cgp_plus_alert_extratrees,6737,242,0.39362643051768986,0.8925832967508383,19.487190082644624
Endocrine Disruption_SR-ATAD5,123,structure_alert_extratrees,6737,242,0.257045753679091,0.8138351815446084,18.37363636363636
Endocrine Disruption_SR-ATAD5,123,cgp_latent_extratrees,6737,242,0.40295616784159827,0.8856634792179616,20.60074380165289
Endocrine Disruption_SR-ATAD5,123,cgp_plus_alert_extratrees,6737,242,0.4263874794274385,0.8931717977592426,20.60074380165289
Endocrine Disruption_SR-ATAD5,2026,structure_alert_extratrees,6737,242,0.2049773173073724,0.7973743311765565,13.362644628099172
Endocrine Disruption_SR-ATAD5,2026,cgp_latent_extratrees,6737,242,0.3689353514537766,0.8789637928730938,18.37363636363636
Endocrine Disruption_SR-ATAD5,2026,cgp_plus_alert_extratrees,6737,242,0.3815052795909231,0.8948164194962431,17.816859504132232
Endocrine Disruption_SR-HSE,13,structure_alert_extratrees,6145,334,0.24262128383438855,0.7766534561233753,5.887425149700599
Endocrine Disruption_SR-HSE,13,cgp_latent_extratrees,6145,334,0.3585894149283711,0.8160192263897605,14.718562874251496
