task,representation,model,fold,n_train,n_test,positive_train,positive_test,auroc,auprc
Endocrine Disruption_SR-ARE,CGP_sep_k32,extratrees,0,4429,1108,696,174,0.8408956656575353,0.5741562841125049
Endocrine Disruption_SR-ARE,CGP_sep_k32,extratrees,1,4429,1108,696,174,0.8428677791725122,0.5320019709272967
Endocrine Disruption_SR-ARE,CGP_sep_k32,extratrees,2,4430,1107,696,174,0.8325448744009559,0.5499726764258737
Endocrine Disruption_SR-ARE,CGP_sep_k32,extratrees,3,4430,1107,696,174,0.8492287886067683,0.5944391988691189
Endocrine Disruption_SR-ARE,CGP_sep_k32,extratrees,4,4430,1107,696,174,0.826883985659903,0.5463438474968113
Endocrine Disruption_SR-ARE,RDKit2D,extratrees,0,4429,1108,696,174,0.8441938024563734,0.5897286711583306
Endocrine Disruption_SR-ARE,RDKit2D,extratrees,1,4429,1108,696,174,0.8514976986881293,0.5536626338359603
Endocrine Disruption_SR-ARE,RDKit2D,extratrees,2,4430,1107,696,174,0.8111856451195624,0.4842447915247547
Endocrine Disruption_SR-ARE,RDKit2D,extratrees,3,4430,1107,696,174,0.8550159539737099,0.5720513951078525
Endocrine Disruption_SR-ARE,RDKit2D,extratrees,4,4430,1107,696,174,0.7978588412117629,0.500382936086984
Endocrine Disruption_SR-ARE,Morgan2048,extratrees,0,4429,1108,696,174,0.8084004036525635,0.5053658186576002
Endocrine Disruption_SR-ARE,Morgan2048,extratrees,1,4429,1108,696,174,0.8103355977257625,0.4533588928227315
Endocrine Disruption_SR-ARE,Morgan2048,extratrees,2,4430,1107,696,174,0.776555050449052,0.440896935328715
Endocrine Disruption_SR-ARE,Morgan2048,extratrees,3,4430,1107,696,174,0.8263172808022572,0.5457672101612376
Endocrine Disruption_SR-ARE,Morgan2048,extratrees,4,4430,1107,696,174,0.7853358958248636,0.4417993525637315
Endocrine Disruption_SR-ARE,AtomPair2048,extratrees,0,4429,1108,696,174,0.825472568854759,0.5433654856102079
Endocrine Disruption_SR-ARE,AtomPair2048,extratrees,1,4429,1108,696,174,0.8310412513229469,0.5019727195328187
Endocrine Disruption_SR-ARE,AtomPair2048,extratrees,2,4430,1107,696,174,0.7995035172660188,0.4565371915455165
Endocrine Disruption_SR-ARE,AtomPair2048,extratrees,3,4430,1107,696,174,0.84733463921844,0.5665527131810834
Endocrine Disruption_SR-ARE,AtomPair2048,extratrees,4,4430,1107,696,174,0.785194219610452,0.4734271765719
Endocrine Disruption_SR-ARE,Avalon1024,extratrees,0,4429,1108,696,174,0.8147105515764602,0.5221445453601544
Endocrine Disruption_SR-ARE,Avalon1024,extratrees,1,4429,1108,696,174,0.8234235398360776,0.5016294147018923
Endocrine Disruption_SR-ARE,Avalon1024,extratrees,2,4430,1107,696,174,0.7861120350864225,0.425436852881791
Endocrine Disruption_SR-ARE,Avalon1024,extratrees,3,4430,1107,696,174,0.8314422638627096,0.552754117877432
Endocrine Disruption_SR-ARE,Avalon1024,extratrees,4,4430,1107,696,174,0.8058851067499476,0.4846617400197769
Endocrine Disruption_SR-ATAD5,CGP_sep_k32,extratrees,0,5389,1348,193,49,0.9057988091310428,0.504293965282037
Endocrine Disruption_SR-ATAD5,CGP_sep_k32,extratrees,1,5389,1348,193,49,0.8620288762156133,0.2687140119110004
Endocrine Disruption_SR-ATAD5,CGP_sep_k32,extratrees,2,5390,1347,194,48,0.8708622016936105,0.3503807413662686
Endocrine Disruption_SR-ATAD5,CGP_sep_k32,extratrees,3,5390,1347,194,48,0.8622979214780602,0.2923604964779259
Endocrine Disruption_SR-ATAD5,CGP_sep_k32,extratrees,4,5390,1347,194,48,0.8883756735950732,0.4426190572005407
Endocrine Disruption_SR-ATAD5,RDKit2D,extratrees,0,5389,1348,193,49,0.879349892381895,0.2940147932684956
Endocrine Disruption_SR-ATAD5,RDKit2D,extratrees,1,5389,1348,193,49,0.8377323215660397,0.2314366256750327
Endocrine Disruption_SR-ATAD5,RDKit2D,extratrees,2,5390,1347,194,48,0.8352578906851424,0.2661840342169377
Endocrine Disruption_SR-ATAD5,RDKit2D,extratrees,3,5390,1347,194,48,0.8625705671028996,0.2649534590310372
Endocrine Disruption_SR-ATAD5,RDKit2D,extratrees,4,5390,1347,194,48,0.8446721837310753,0.366750748733504
Endocrine Disruption_SR-ATAD5,Morgan2048,extratrees,0,5389,1348,193,49,0.815808078427676,0.2398807715783366
Endocrine Disruption_SR-ATAD5,Morgan2048,extratrees,1,5389,1348,193,49,0.8161615685535184,0.1863936988268497
Endocrine Disruption_SR-ATAD5,Morgan2048,extratrees,2,5390,1347,194,48,0.819965678727226,0.3079344978720299
Endocrine Disruption_SR-ATAD5,Morgan2048,extratrees,3,5390,1347,194,48,0.8341592891968181,0.2777085525625538
Endocrine Disruption_SR-ATAD5,Morgan2048,extratrees,4,5390,1347,194,48,0.8229487426225301,0.2772242235207356
Endocrine Disruption_SR-ATAD5,AtomPair2048,extratrees,0,5389,1348,193,49,0.8490911376097783,0.311514817750962
Endocrine Disruption_SR-ATAD5,AtomPair2048,extratrees,1,5389,1348,193,49,0.7976858179761512,0.2337658205567037
Endocrine Disruption_SR-ATAD5,AtomPair2048,extratrees,2,5390,1347,194,48,0.8514081344624069,0.3448852755925933
Endocrine Disruption_SR-ATAD5,AtomPair2048,extratrees,3,5390,1347,194,48,0.84002117013087,0.266948390673867
Endocrine Disruption_SR-ATAD5,AtomPair2048,extratrees,4,5390,1347,194,48,0.8379843469335386,0.3835805990426537
Endocrine Disruption_SR-ATAD5,Avalon1024,extratrees,0,5389,1348,193,49,0.8143548412436568,0.2154995721604522
Endocrine Disruption_SR-ATAD5,Avalon1024,extratrees,1,5389,1348,193,49,0.7865312406717883,0.187998518950174
Endocrine Disruption_SR-ATAD5,Avalon1024,extratrees,2,5390,1347,194,48,0.8482085578650242,0.3155792581418868
Endocrine Disruption_SR-ATAD5,Avalon1024,extratrees,3,5390,1347,194,48,0.7764386066204774,0.257539514618521
Endocrine Disruption_SR-ATAD5,Avalon1024,extratrees,4,5390,1347,194,48,0.8226119450859635,0.3026828942188481
Endocrine Disruption_SR-HSE,CGP_sep_k32,extratrees,0,4916,1229,267,67,0.8109923703342152,0.4145912741451746
Endocrine Disruption_SR-HSE,CGP_sep_k32,extratrees,1,4916,1229,267,67,0.8226744932822977,0.3700861696851087
Endocrine Disruption_SR-HSE,CGP_sep_k32,extratrees,2,4916,1229,267,67,0.8034783055462789,0.3649272512796878
Endocrine Disruption_SR-HSE,CGP_sep_k32,extratrees,3,4916,1229,267,67,0.8097657153132787,0.343292463362386
Endocrine Disruption_SR-HSE,CGP_sep_k32,extratrees,4,4916,1229,268,66,0.7969201907293051,0.3725566412201547
Endocrine Disruption_SR-HSE,RDKit2D,extratrees,0,4916,1229,267,67,0.8095923138181725,0.328438471197023
Endocrine Disruption_SR-HSE,RDKit2D,extratrees,1,4916,1229,267,67,0.827690292085185,0.3072889387784269
Endocrine Disruption_SR-HSE,RDKit2D,extratrees,2,4916,1229,267,67,0.8116988208698332,0.2796224536272869
Endocrine Disruption_SR-HSE,RDKit2D,extratrees,3,4916,1229,267,67,0.7525175328178386,0.3212209902380544
Endocrine Disruption_SR-HSE,RDKit2D,extratrees,4,4916,1229,268,66,0.8128403554026942,0.280651649393711
Endocrine Disruption_SR-HSE,Morgan2048,extratrees,0,4916,1229,267,67,0.8153852082102396,0.2870364628084144
Endocrine Disruption_SR-HSE,Morgan2048,extratrees,1,4916,1229,267,67,0.8096244252061552,0.2435330791092052
Endocrine Disruption_SR-HSE,Morgan2048,extratrees,2,4916,1229,267,67,0.7679438436046959,0.2113090317719911
Endocrine Disruption_SR-HSE,Morgan2048,extratrees,3,4916,1229,267,67,0.679637526652452,0.1815645007812087
Endocrine Disruption_SR-HSE,Morgan2048,extratrees,4,4916,1229,268,66,0.7923864613460485,0.2867859429966135
Endocrine Disruption_SR-HSE,AtomPair2048,extratrees,0,4916,1229,267,67,0.7876088576052612,0.2683811264318996
Endocrine Disruption_SR-HSE,AtomPair2048,extratrees,1,4916,1229,267,67,0.7760166465435303,0.2027727826274877
Endocrine Disruption_SR-HSE,AtomPair2048,extratrees,2,4916,1229,267,67,0.8046407377912503,0.2573798956166278
Endocrine Disruption_SR-HSE,AtomPair2048,extratrees,3,4916,1229,267,67,0.7235659054126955,0.2565290696018598
Endocrine Disruption_SR-HSE,AtomPair2048,extratrees,4,4916,1229,268,66,0.7802053206180464,0.2803222482905784
Endocrine Disruption_SR-HSE,Avalon1024,extratrees,0,4916,1229,267,67,0.7936008426028207,0.2347629043488879
Endocrine Disruption_SR-HSE,Avalon1024,extratrees,1,4916,1229,267,67,0.7602499550440567,0.2346067135163319
Endocrine Disruption_SR-HSE,Avalon1024,extratrees,2,4916,1229,267,67,0.7608600714157269,0.2103465700320954
Endocrine Disruption_SR-HSE,Avalon1024,extratrees,3,4916,1229,267,67,0.698191486628818,0.2059951631765495
Endocrine Disruption_SR-HSE,Avalon1024,extratrees,4,4916,1229,268,66,0.7433687693790876,0.2702398843472875
Endocrine Disruption_SR-MMP,CGP_sep_k32,extratrees,0,4423,1106,700,175,0.9174528157127512,0.7149339791133471
Endocrine Disruption_SR-MMP,CGP_sep_k32,extratrees,1,4423,1106,700,175,0.895998158661961,0.670787339949153
Endocrine Disruption_SR-MMP,CGP_sep_k32,extratrees,2,4423,1106,700,175,0.9004541967162804,0.7057529171191058
Endocrine Disruption_SR-MMP,CGP_sep_k32,extratrees,3,4423,1106,700,175,0.9208439466011968,0.7452095378182815
Endocrine Disruption_SR-MMP,CGP_sep_k32,extratrees,4,4424,1105,700,175,0.909852534562212,0.7254974715607172
Endocrine Disruption_SR-MMP,RDKit2D,extratrees,0,4423,1106,700,175,0.9299401565137334,0.7608006550162862
