task,representation,display,model,fold,n_train,n_test,positive_train,positive_test,n_train_scaffolds,n_test_scaffolds,scaffold_overlap,auroc,auprc
Endocrine Disruption_SR-ARE,CGP_sep_k32,CGP-Align,extratrees_scaffold,0,5490,47,856,14,2874,33,0,0.843073593073593,0.6797994942261859
Endocrine Disruption_SR-ARE,CGP_sep_k32,CGP-Align,extratrees_scaffold,1,3202,2335,552,318,2183,724,0,0.8283910658771512,0.5091330775081578
Endocrine Disruption_SR-ARE,CGP_sep_k32,CGP-Align,extratrees_scaffold,2,4374,1163,668,202,2172,735,0,0.8235748652908996,0.5113587018100667
Endocrine Disruption_SR-ARE,CGP_sep_k32,CGP-Align,extratrees_scaffold,3,4578,959,706,164,2213,694,0,0.8181853044945544,0.5089684605118159
Endocrine Disruption_SR-ARE,CGP_sep_k32,CGP-Align,extratrees_scaffold,4,4504,1033,698,172,2186,721,0,0.8011506360910785,0.5013300461870291
Endocrine Disruption_SR-ARE,RDKit2D,RDKit2D,extratrees_scaffold,0,5490,47,856,14,2874,33,0,0.8679653679653679,0.6285812875874988
Endocrine Disruption_SR-ARE,RDKit2D,RDKit2D,extratrees_scaffold,1,3202,2335,552,318,2183,724,0,0.7523713529340231,0.38744907568796827
Endocrine Disruption_SR-ARE,RDKit2D,RDKit2D,extratrees_scaffold,2,4374,1163,668,202,2172,735,0,0.8112218089654958,0.4816690470913203
Endocrine Disruption_SR-ARE,RDKit2D,RDKit2D,extratrees_scaffold,3,4578,959,706,164,2213,694,0,0.8279797514956282,0.5457484808847048
Endocrine Disruption_SR-ARE,RDKit2D,RDKit2D,extratrees_scaffold,4,4504,1033,698,172,2186,721,0,0.8042804472895227,0.43967106528461564
Endocrine Disruption_SR-ARE,NYAN_latent,NYAN,extratrees_scaffold,0,5490,47,856,14,2874,33,0,0.8246753246753247,0.6121320046717379
Endocrine Disruption_SR-ARE,NYAN_latent,NYAN,extratrees_scaffold,1,3202,2335,552,318,2183,724,0,0.7524313773179545,0.3424120906431347
Endocrine Disruption_SR-ARE,NYAN_latent,NYAN,extratrees_scaffold,2,4374,1163,668,202,2172,735,0,0.8031985040335459,0.4435460937409976
Endocrine Disruption_SR-ARE,NYAN_latent,NYAN,extratrees_scaffold,3,4578,959,706,164,2213,694,0,0.8014956281638288,0.4821979822867503
Endocrine Disruption_SR-ARE,NYAN_latent,NYAN,extratrees_scaffold,4,4504,1033,698,172,2186,721,0,0.7873281473678524,0.4651663435225466
Endocrine Disruption_SR-ARE,Morgan2048,Morgan,extratrees_scaffold,0,5490,47,856,14,2874,33,0,0.8203463203463204,0.643977399412182
Endocrine Disruption_SR-ARE,Morgan2048,Morgan,extratrees_scaffold,1,3202,2335,552,318,2183,724,0,0.7004580562077687,0.2753120906172851
Endocrine Disruption_SR-ARE,Morgan2048,Morgan,extratrees_scaffold,2,4374,1163,668,202,2172,735,0,0.7787525370643202,0.46675254125663873
Endocrine Disruption_SR-ARE,Morgan2048,Morgan,extratrees_scaffold,3,4578,959,706,164,2213,694,0,0.7751227182083142,0.4516570768475116
Endocrine Disruption_SR-ARE,Morgan2048,Morgan,extratrees_scaffold,4,4504,1033,698,172,2186,721,0,0.7752073035680522,0.41840960476569966
Endocrine Disruption_SR-ARE,AtomPair2048,AtomPair,extratrees_scaffold,0,5490,47,856,14,2874,33,0,0.7976190476190476,0.5569782458437921
Endocrine Disruption_SR-ARE,AtomPair2048,AtomPair,extratrees_scaffold,1,3202,2335,552,318,2183,724,0,0.7076142100323353,0.33356125708014017
Endocrine Disruption_SR-ARE,AtomPair2048,AtomPair,extratrees_scaffold,2,4374,1163,668,202,2172,735,0,0.8049499799095413,0.4868653410728777
Endocrine Disruption_SR-ARE,AtomPair2048,AtomPair,extratrees_scaffold,3,4578,959,706,164,2213,694,0,0.8122104617272587,0.5258035732131981
Endocrine Disruption_SR-ARE,AtomPair2048,AtomPair,extratrees_scaffold,4,4504,1033,698,172,2186,721,0,0.8126975123571835,0.4562587767012651
Endocrine Disruption_SR-ARE,Avalon1024,Avalon,extratrees_scaffold,0,5490,47,856,14,2874,33,0,0.8398268398268398,0.6041909216061635
Endocrine Disruption_SR-ARE,Avalon1024,Avalon,extratrees_scaffold,1,3202,2335,552,318,2183,724,0,0.745066307455808,0.33282456581956277
Endocrine Disruption_SR-ARE,Avalon1024,Avalon,extratrees_scaffold,2,4374,1163,668,202,2172,735,0,0.7740982474938441,0.4249637347245566
Endocrine Disruption_SR-ARE,Avalon1024,Avalon,extratrees_scaffold,3,4578,959,706,164,2213,694,0,0.7843227488878664,0.48097294478649066
Endocrine Disruption_SR-ARE,Avalon1024,Avalon,extratrees_scaffold,4,4504,1033,698,172,2186,721,0,0.7824899386867622,0.40457942222417015
Endocrine Disruption_SR-ATAD5,CGP_sep_k32,CGP-Align,extratrees_scaffold,0,5339,1398,188,54,2662,877,0,0.8463541666666667,0.3295641600131524
Endocrine Disruption_SR-ATAD5,CGP_sep_k32,CGP-Align,extratrees_scaffold,1,4149,2588,157,85,2658,881,0,0.8782778313083124,0.3293677934201231
Endocrine Disruption_SR-ATAD5,CGP_sep_k32,CGP-Align,extratrees_scaffold,2,6716,21,241,1,3526,13,0,0.75,0.16666666666666666
Endocrine Disruption_SR-ATAD5,CGP_sep_k32,CGP-Align,extratrees_scaffold,3,5418,1319,195,47,2653,886,0,0.8338685936036397,0.2967389093325407
Endocrine Disruption_SR-ATAD5,CGP_sep_k32,CGP-Align,extratrees_scaffold,4,5326,1411,187,55,2657,882,0,0.907059533386967,0.3353965918267727
Endocrine Disruption_SR-ATAD5,RDKit2D,RDKit2D,extratrees_scaffold,0,5339,1398,188,54,2662,877,0,0.8483658509700176,0.21988910409319656
Endocrine Disruption_SR-ATAD5,RDKit2D,RDKit2D,extratrees_scaffold,1,4149,2588,157,85,2658,881,0,0.805130314211182,0.24116849159917114
Endocrine Disruption_SR-ATAD5,RDKit2D,RDKit2D,extratrees_scaffold,2,6716,21,241,1,3526,13,0,0.85,0.25
Endocrine Disruption_SR-ATAD5,RDKit2D,RDKit2D,extratrees_scaffold,3,5418,1319,195,47,2653,886,0,0.834320219456711,0.1654615480303929
Endocrine Disruption_SR-ATAD5,RDKit2D,RDKit2D,extratrees_scaffold,4,5326,1411,187,55,2657,882,0,0.8771453472780906,0.22719475591203203
