method,active_queries,topk,directed_active_hits,unique_active_pairs,query_hit_rate,top_active_fraction,candidate_active_rate,active_lift,top_mean_lfc,top_mean_absdiff,top_median_absdiff,hit_yield_per_1000_ranked,setting,low_tanimoto,active_threshold,num_active_compounds
CGP-Align,88,10,245,194,0.8636363636363636,0.2784090909090909,0.043882680723391784,6.413456182083042,-1.0962743630791507,2.1533070931052367,2.2403182571317966,278.4090909090909,low_morgan_lt_0.15,0.15,-2.0,88
RDKit2D,88,10,60,59,0.4772727272727273,0.06818181818181818,0.043882680723391784,1.6082144321381129,-0.2426062063734703,2.8308596800676735,2.988634284871461,68.18181818181817,low_morgan_lt_0.15,0.15,-2.0,88
NYAN,88,10,95,70,0.625,0.10795454545454546,0.043882680723391784,2.5438535623572487,-0.36402637418670397,2.7480873416570173,2.9007957570495573,107.95454545454545,low_morgan_lt_0.15,0.15,-2.0,88
Morgan,88,10,52,37,0.4659090909090909,0.05909090909090908,0.043882680723391784,1.3623208423704658,-0.15733391906925878,2.9165527989221363,3.0567969108802076,59.090909090909086,low_morgan_lt_0.15,0.15,-2.0,88
AtomPair,88,10,63,55,0.48863636363636365,0.0715909090909091,0.043882680723391784,1.6987137317788188,-0.2917370059561852,2.763453216415523,2.880583792431439,71.5909090909091,low_morgan_lt_0.15,0.15,-2.0,88
Avalon,88,10,66,49,0.4772727272727273,0.07500000000000001,0.043882680723391784,1.7878871948852912,-0.21144329236227682,2.868525740965693,2.9838827103660814,75.0,low_morgan_lt_0.15,0.15,-2.0,88
Random,88,10,44,44,0.4090909090909091,0.05,0.043882680723391784,1.1340415811452396,-0.12708653198529976,2.939614106980827,3.0573725313595124,50.0,low_morgan_lt_0.15,0.15,-2.0,88
CGP-Align,88,50,1026,764,0.9431818181818182,0.23318181818181818,0.043882680723391784,5.3944164545536974,-0.8987732284721013,2.308284198695791,2.463104074182576,233.1818181818182,low_morgan_lt_0.15,0.15,-2.0,88
RDKit2D,88,50,339,278,0.8295454545454546,0.07704545454545454,0.043882680723391784,1.84375182791862,-0.2697736077556196,2.818798001936521,2.9994461099764025,77.04545454545455,low_morgan_lt_0.15,0.15,-2.0,88
NYAN,88,50,394,283,0.9431818181818182,0.08954545454545454,0.043882680723391784,2.0997029141077443,-0.3231113933399717,2.7675714436477836,2.932812344242517,89.54545454545453,low_morgan_lt_0.15,0.15,-2.0,88
Morgan,88,50,236,148,0.8977272727272727,0.05363636363636364,0.043882680723391784,1.2515763295173281,-0.128554801940111,2.936448513161859,3.0859448413033204,53.63636363636363,low_morgan_lt_0.15,0.15,-2.0,88
AtomPair,88,50,339,256,0.9090909090909091,0.07704545454545454,0.043882680723391784,1.8141882006081311,-0.2994803189653348,2.778697354634602,2.9214846632259484,77.04545454545455,low_morgan_lt_0.15,0.15,-2.0,88
Avalon,88,50,359,253,0.9318181818181818,0.08159090909090909,0.043882680723391784,1.908543858456951,-0.24175840426838313,2.844710386717938,3.016744853654514,81.5909090909091,low_morgan_lt_0.15,0.15,-2.0,88
Random,88,50,197,197,0.8522727272727273,0.04477272727272728,0.043882680723391784,1.0241143404570712,-0.10059063105247333,2.9477075157805994,3.0842250602733903,44.772727272727266,low_morgan_lt_0.15,0.15,-2.0,88
CGP-Align,88,100,1791,1222,0.9431818181818182,0.20352272727272727,0.043882680723391784,4.695737323970296,-0.7816284402473088,2.4052053130675763,2.569701680631459,203.52272727272728,low_morgan_lt_0.15,0.15,-2.0,88
RDKit2D,88,100,744,533,0.8863636363636364,0.08454545454545455,0.043882680723391784,2.005119340204758,-0.2864636131647355,2.8063111613216325,3.0010525340773957,84.54545454545455,low_morgan_lt_0.15,0.15,-2.0,88
